Model_File,Rows,Accuracy,Precision,Recall,F1-Score
gpt-4o-batch-10,200,0.915,0.9245,0.9159,0.9202
claude-4.6-sonnet-batch-50,200,0.905,0.9074,0.9159,0.9116
claude-4.6-sonnet-batch-100,200,0.905,0.9151,0.9065,0.9108
claude-4.6-sonnet-batch-20,200,0.9,0.9065,0.9065,0.9065
gpt-4o-batch-20,200,0.895,0.8981,0.9065,0.9023
claude-4.6-sonnet-batch-3,200,0.895,0.9057,0.8972,0.9014
gpt-4o-mini-batch-3,200,0.895,0.9135,0.8879,0.9005
gpt-4o-mini-batch-10,200,0.895,0.9216,0.8785,0.8995
Llama-3.3-70B-Instruct-batch-20,200,0.89,0.8899,0.9065,0.8981
Llama-3.3-70B-Instruct-batch-10,200,0.89,0.8972,0.8972,0.8972
gpt-4.1-batch-3,200,0.89,0.8972,0.8972,0.8972
gpt-4.1-mini-batch-3,200,0.89,0.9048,0.8879,0.8962
gpt-4o-batch-3,200,0.89,0.9048,0.8879,0.8962
Llama-3.3-70B-Instruct-batch-3,200,0.885,0.8889,0.8972,0.893
gpt-4o-batch-100,200,0.885,0.8889,0.8972,0.893
grok-4.1-fast-batch-3,200,0.885,0.8962,0.8879,0.892
gpt-4o-mini-batch-100,200,0.885,0.9038,0.8785,0.891
grok-4.1-fast-batch-100,200,0.88,0.8673,0.9159,0.8909
claude-4.6-sonnet-batch-10,200,0.885,0.9118,0.8692,0.89
gpt-4.1-batch-20,200,0.88,0.8739,0.9065,0.8899
gpt-4.1-mini-batch-50,200,0.88,0.9029,0.8692,0.8857
gpt-4o-mini-batch-20,200,0.88,0.9029,0.8692,0.8857
grok-4.1-fast-batch-50,200,0.875,0.8727,0.8972,0.8848
deepseek-r1-batch-10,200,0.88,0.9109,0.8598,0.8846
Llama-3.3-70B-Instruct-batch-50,200,0.88,0.9109,0.8598,0.8846
gpt-4.1-batch-100,200,0.87,0.8462,0.9252,0.8839
grok-4.1-fast-batch-20,200,0.875,0.8796,0.8879,0.8837
deepseek-r1-batch-50,200,0.875,0.8868,0.8785,0.8826
gemini-3.5-flash-batch-100,200,0.875,0.8868,0.8785,0.8826
gemini-3.5-flash-batch-50,200,0.875,0.8868,0.8785,0.8826
gpt-4.1-mini-batch-100,200,0.875,0.8868,0.8785,0.8826
gemini-3.5-flash-batch-3,200,0.875,0.902,0.8598,0.8804
gemini-3.5-flash-batch-10,200,0.87,0.8716,0.8879,0.8796
deepseek-r1-batch-20,200,0.875,0.91,0.8505,0.8792
deepseek-r1-batch-3,200,0.875,0.91,0.8505,0.8792
gpt-4.1-batch-10,200,0.87,0.8785,0.8785,0.8785
grok-4.1-fast-batch-10,200,0.87,0.8932,0.8598,0.8762
gpt-4.1-mini-batch-10,200,0.865,0.8774,0.8692,0.8732
gpt-4.1-mini-batch-20,200,0.865,0.8774,0.8692,0.8732
gemini-3.5-flash-batch-20,200,0.86,0.8624,0.8785,0.8704
deepseek-r1-batch-100,200,0.855,0.89,0.8318,0.8599
gpt-4.1-batch-50,200,0.82,0.8198,0.8505,0.8349
gpt-4o-batch-50,200,0.815,0.8302,0.8224,0.8263
gpt-4o-mini-batch-50,200,0.81,0.8224,0.8224,0.8224
Ministral-3B-batch-10,200,0.82,0.8737,0.7757,0.8218
Ministral-3B-batch-100,200,0.82,0.8817,0.7664,0.82
Ministral-3B-batch-20,200,0.81,0.8485,0.785,0.8155
Ministral-3B-batch-50,200,0.805,0.8617,0.757,0.806
Ministral-3B-batch-3,200,0.79,0.8351,0.757,0.7941
Llama-3.3-70B-Instruct-batch-100,200,0.7,0.7474,0.6636,0.703
